Accuracy is 90.95452625651134Confusion Matrix: 

col_0    #    $   ''   (   )     ,     .    :    CC    CD ...    VBD  VBG  \
row_0                                                     ...               
#        5    0    0   0   0     0     0    0     0     0 ...      0    0   
$        0  371    0   0   0     0     0    0     0     0 ...      0    0   
''       0    0  532   0   0     0     0    0     0     0 ...      0    0   
(        0    0    0  76   0     0     0    0     0     0 ...      0    0   
)        0    0    0   0  76     0     0    0     0     0 ...      0    0   
,        0    0    0   0   0  3070     0    0     0     0 ...      0    0   
.        0    0    0   0   0     0  2363    0     0     0 ...      0    0   
:        0    0    0   0   0     0     0  336     0     0 ...      0    0   
CC       0    0    0   0   0     0     0    0  1361     0 ...      0    0   
CD       0    0    0   0   0     0     0    0     0  1517 ...      0    0   
DT       0    0    0   0   0     0     0    0     0     0 ...      0    0   
EX       0    0    0   0   0     0     0    0     0     0 ...      0    0   
FW       0    0    0   0   0     0     0    0     0     0 ...      0    0   
IN       0    0    0   0   0     0     0    0     0     0 ...      0    0   
JJ       0    0    0   0   0     0     0    0     0     1 ...     22   19   
JJR      0    0    0   0   0     0     0    0     0     0 ...      0    0   
JJR|RBR  0    0    0   0   0     0     0    0     0     0 ...      0    0   
JJS      0    0    0   0   0     0     0    0     0     0 ...      0    0   
JJ|IN    0    0    0   0   0     0     0    0     0     0 ...      0    0   
LS       0    0    0   0   0     0     0    0     0     0 ...      0    0   
MD       0    0    0   0   0     0     0    0     0     0 ...      0    0   
NN       0    0    0   0   0     0     0    0     1     6 ...     17   74   
NNP      0    0    0   0   0     0     0    0     0     3 ...      0    0   
NNPS     0    0    0   0   0     0     0    0     0     0 ...      0    0   
NNS      0    0    0   0   0     0     0    0     0     6 ...      0    0   
PDT      0    0    0   0   0     0     0    0     0     0 ...      0    0   
POS      0    0    0   0   0     0     0    0     0     0 ...      0    0   
PRP      0    0    0   0   0     0     0    0     0     5 ...      0    0   
PRP$     0    0    0   0   0     0     0    0     0     0 ...      0    0   
RB       0    0    0   0   0     0     0    0     6     0 ...      0    0   
RBR      0    0    0   0   0     0     0    0     0     0 ...      0    0   
RBR|JJR  0    0    0   0   0     0     0    0     0     0 ...      0    0   
RBS      0    0    0   0   0     0     0    0     0     0 ...      0    0   
RB|JJ    0    0    0   0   0     0     0    0     0     0 ...      0    0   
RP       0    0    0   0   0     0     0    0     0     0 ...      0    0   
SYM      0    0    0   0   0     0     0    0     0     0 ...      0    0   
TO       0    0    0   0   0     0     0    0     0     0 ...      0    0   
UH       0    0    0   0   0     0     0    0     0     0 ...      0    0   
VB       0    0    0   0   0     0     0    0     0     0 ...      3    0   
VBD      0    0    0   0   0     0     0    0     0     0 ...   1538    0   
VBG      0    0    0   0   0     0     0    0     0     0 ...      0  541   
VBG|NN   0    0    0   0   0     0     0    0     0     0 ...      0    0   
VBN      0    0    0   0   0     0     0    0     0     0 ...    142    0   
VBN|JJ   0    0    0   0   0     0     0    0     0     0 ...      0    0   
VBP      0    0    0   0   0     0     0    0     0     0 ...      0    0   
VBZ      0    0    0   0   0     0     0    0     0     0 ...      0    0   
WDT      0    0    0   0   0     0     0    0     0     0 ...      0    0   
WP       0    0    0   0   0     0     0    0     0     0 ...      0    0   
WP$      0    0    0   0   0     0     0    0     0     0 ...      0    0   
WRB      0    0    0   0   0     0     0    0     0     0 ...      0    0   
``       0    0    0   0   0     0     0    0     0     0 ...      0    0   

col_0    VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``  
row_0                                             
#          0    0     0    0    0    0    0    0  
$          0    0     0    0    0    0    0    0  
''         0    0     0    0    0    0    0    0  
(          0    0     0    0    0    0    0    0  
)          0    0     0    0    0    0    0    0  
,          0    0     0    0    0    0    0    0  
.          0    0     0    0    0    0    0    0  
:          0    0     0    0    0    0    0    0  
CC         0    0     0    0    0    0    0    0  
CD         0    0     0    0    0    0    0    0  
DT         0    0     0    2    0    0    0    0  
EX         0    0     0    0    0    0    0    0  
FW         0    0     0    0    0    0    0    0  
IN         0    0     0    6    0    0    0    0  
JJ       239    2     0    0    0    0    0    0  
JJR        0    0     0    0    0    0    0    0  
JJR|RBR    0    0     0    0    0    0    0    0  
JJS        0    0     0    0    0    0    0    0  
JJ|IN      0    0     0    0    0    0    0    0  
LS         0    0     0    0    0    0    0    0  
MD         0    0     0    0    0    0    0    0  
NN         4   26     1    0    0    0    0    0  
NNP       17    0     1    0    0    0    0    0  
NNPS       0    0     0    0    0    0    0    0  
NNS        0    0    76    0    0    0    0    0  
PDT        0    0     0    0    0    0    0    0  
POS        0    0    11    0    0    0    0    0  
PRP        0    0     0    0    0    0    0    0  
PRP$       0    0     0    0    0    0    0    0  
RB         0    0     0    0    0    0    0    0  
RBR        0    0     0    0    0    0    0    0  
RBR|JJR    0    0     0    0    0    0    0    0  
RBS        0    0     0    0    0    0    0    0  
RB|JJ      0    0     0    0    0    0    0    0  
RP         0    0     0    0    0    0    0    0  
SYM        0    0     0    0    0    0    0    0  
TO         0    0     0    0    0    0    0    0  
UH         0    0     0    0    0    0    0    0  
VB         9  101     0    0    0    0    0    0  
VBD      277    1     0    0    0    0    0    0  
VBG        0    0     0    0    0    0    0    0  
VBG|NN     0    0     0    0    0    0    0    0  
VBN      923    0     0    0    0    0    0    0  
VBN|JJ     2    0     0    0    0    0    0    0  
VBP        6  651     0    0    0    0    0    0  
VBZ        0    0  1102    0    0    0    0    0  
WDT        0    0     0  147    1    0    0    0  
WP         0    0     0    0  111    0    0    0  
WP$        0    0     0    0    0   21    0    0  
WRB        0    0     0    0    0    0  131    0  
``         0    0     0    0    0    0    0  535  

[51 rows x 42 columns]
